,ceNumber,title,source,firstAppeared,tune,creditMusic,creditArrangement,creditLyrics,creditLyricsEdits,creditCopyright,lyricsFirstLineBody,lyricsFirstLineChorus,scriptureReference,inscription
129,130,One There Is Above All Others,564,11,"TALMAR, 8.7.8.7.",,ed. for Old School Hymnal (2020),"John Newton, 1725-1807 (1779)",,,One there is above all others,,,
130,131,Jesus Has Done All Things Well,290,7,,"Elder J.A. Monsees, 1883-1971",,"Elder J.A. Monsees, 1883-1971",,,Out in the cold world away from God,,,
131,132,"Hark, My Soul! It Is The Lord",426,1,"REFUGE, 7’s",Minshall,,"William Cowper, 1731-1800",,,"Hark, my soul! It is the Lord",,,
132,133,Faith Is The Brightest Evidence,176,10,"DUNDEE, C.M.",Scottish Psalter (1615),,"Isaac Watts, 1674-1748",,,Faith is the brightest evidence of things,,,
133,134,All Creatures of Our God and King,SOZ-20,OSH100,LASST US ERFREUEN,"Geistliche Kirchengesäng, Cologne (1623)",arr. by Elders Philip Green & Bryce H. Lowrance (2020),Francis of Assisi (d. 1226),trans. by William H. Draper 1855-1933,,All creatures of our God and King,,,
134,135,Thy Mourning People Bend,PBH,OSH100,"PUBLIC FAST, C.M.","Elder Bryce H. Lowrance, 1970-  (2002)",,"Anne Steele, 1717-1778 (1756)",,,"See gracious God, before Thy throne, ",,,
135,136,"How Oft, Alas! This Wretched Heart",514,2,"ATWATER, C.M.",,,"Anne Steele, 1717-1778",,,"How oft, alas! this wretched heart",,,
136,137,If My People’s Hearts Are Humbled,PBH - 232,OSH100,AUSTRIAN HYMN 8.7.8.7.D.,"Franz Joseph Haydn, 1732-1809",,"Claire Cloninger, 1942-",,,If my people’s hearts are humbled,,2nd Chronicles 7:14-15,
137,138,How Deep the Father’s Love,SOZ - 10,OSH100,,"Stuart Townend, 1963-  (2005)",,"Stuart Townend, 1963-  (2005)",,"© Copyright 1995 by ThankyouMusic (PRS)
(admin. worldwide by EMI CMG Publishing excluding Europe which is admin. by kingswaysongs.com)",How deep the Father’s love for us!,,,
138,139,Redeemed,489,OLH2,,"William J. Kirkpatrick, 1838-1921",,"Fanny J. Crosby, 1820-1915",,,"Redeemed, How I love to proclaim it!","Redeemed, redeemed",,
139,140,There’s Hope in the Name of Jesus,NEW,OSH100,LEXINGTON,"Elder Paul Trautner, 1933-  (2014)","arr. by Elder Bryce H. Lowrance, 1970-  (2018)","Sis. Barbara Bates, 1946-1993 (1988)",,"© Copyright 2018 by Trautner & Lowrance. 
All rights reserved. Used by permission.","There’s hope in the name of Jesus, ",,,Dedicated to the members of Lexington Primitive Baptist Church.
140,141,Who Is This That Comes From Far?,194,10,"BOZRAH, 7’s",,"arr. by Elder Roland Green, 1924-2011",Southern Harmony (1835),,,Who is this that comes from far?,,,
141,142,"No More, My God",232,10,"WOODWORTH, L.M.","William B. Bradbury, 1816-1868",,"Isaac Watts, 1674-1748",,,"No more, my God! I boast no more",,Philippians 3:7-9,
142,143,He Loves Me,134,10,,,,"from Isaac Watts, 1674-1748",,,"Alas, and did my Savior bleed","He loves me,  He loves me",,
143,144,There Is A Fountain,124,1,"CLEANSING FOUNTAIN, C.M.",19th Century Camp Meeting Tune,,"from William Cowper, 1731-1800 (1772)",,,There is a fountain filled with blood,,,
144,145,Ungrateful Heart,SOZ - 27,OSH100,RACHMANINOV,"Elder Bryce H. Lowrance 1970-  (2012)
from a theme by Sergei Rachmaninov 1873-1943",,Anne Steele 1717-1778,,"© Copyright 2017 by Bryce H. Lowrance. 
All Rights reserved. Used by permission.","Ah! wretched, vile, ungrateful heart,",,,
145,146,"Show Pity, Lord",89,1,"DEVOTION, C.M.","Alexander Johnson, 1791–1832 (1818)",,"Isaac Watts, 1674-1748 (1709)",,,"Show pity, Lord, O Lord forgive",O depth of mercy! can it be,,
146,147,He Paid The Price,283,11,8’s & 7’s with Chorus,"E.M. Bartlett, 1885-1941",,"E.M. Bartlett, 1885-1941",,,When I was lost without a Savior,He paid the price,,
147,148,"Hail, Sovereign Love",302,7,"DUANE STREET, L.M.","George Cole, 1792-1858 (1835)",,"Jehoida Brewer, 1752-1817 (1776)",,,"Hail, sov’reign love that first began",,,
148,149,There Shall Be Showers Of Blessing,446,10,,"James McGranahan, 1840-1907",,"Daniel W. Whittle, 1840-1901",,,There shall be showers of blessing,Showers of blessing,,
149,150,"O, Jesus, My Savior",PBH,OSH100,11’s,Melody trans. by Sis. Roberta Green,"arr. by Elder Bryce H. Lowrance, 1970-  (2003)","Caleb Jarvis Taylor, 1763–1817 (1803)",,,"O, Jesus, my Savior, I know",,,
150,151,"Grace, ’Tis A Charming Sound",178,1,"NINETY-THIRD, S.M.","Lucius Chapin, 1760–1842",,"Philip Doddridge, 1702-1751 (1740) vs. 1,2,4, & 6
Augustus Toplady, 1740-1778 (1776) vs. 3 & 5",,,"Grace, ’tis a charming sound",,,
151,152,Dripping From The Cross,129,10,,"L.B. Leister, 1885-1968",,"L.B. Leister, 1885-1968",,,Guilty nail-pierced holy vein,All because He loved us so,,
152,153,Salvation! O the Joyful Sound,211,1,"MELODY, C.M.","Amzi Chapin, 1768-1835",,"Isaac Watts, 1674-1748 (1707)",,,Salvation! O the joyful sound!,,,
153,154,Amazing Grace,154,1,"NEW BRITAIN, C.M.","William Walker, 1809-1875 (1831)",,"John Newton, 1725-1807; alt.","Final verse from “Jerusalem, My Happy Home”",,Amazing grace! how sweet the sound,,,
154,155,"How Can I, A Lowly Mortal",563,11,"WOODWARD, 8.7.8.7.D.","John W. Blankenship, 1955-  (1979)",,"Elder Roland Green, 1924-2011 (1979)",,"© Copyright 1983 by Old School Hymnal Co., Inc. All Rights Reserved.","How can I, a lowly mortal ",,,
155,156,The Gospel Trumpet,123,9,7’s & 6’s,,,"Elder Isaac Vanmeter, 1815–1894 (1867)",,,Behold the mount of Zion,,Isaiah 2:2,
156,157,It Is Finished,347,12,8’s & 7’s,Wyatt Minshall,,"attr. to Jonathan Evans, 1748/9–1809 (1784)",,,Hark! the voice of love and mercy,,,
157,158,Wonderful Grace,419,8,12.9.12.9. with Chorus,"Bro. Byron L. Whitworth, 1898-1962",,"Elder J.A. Monsees, 1883-1971",,"© Copyright 1942 Old School Hymnal Co, Inc.","I was wand’ring in sin, far away from home",Grace! Grace!  Wonderful grace,,
158,159,How Strange Is The Course,560,11,"BURTON, 11.9.11.9.","Sis. Elaine Green, 1928-",,"Joseph Hart, 1712-1768",,,How strange is the course that a Christian,,,
159,160,Eagle’s Wings,SOZ - 4,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2016)",,"Elder Bryce H. Lowrance, 1970-  (2016)",,"© Copyright 2017 Bryce H. Lowrance.
All rights reserved. Used by permission.","Comfort my people saith your God,",Let us mount up with wings!,Isaiah 40,"for my daughter, Rebecca, on her high school graduation"
160,161,One Day,417,10,11.10.11.10. with Chorus,"Charles H. Marsh, 1886-1956 (1911)",,"J. Wilbur Chapman, 1859-1918 (1908)",,,One day when heaven was filled,"Living He loved me, dying He saved me",,
161,162,He Shall Save His People,272,7,"SPRING, C.M.","L.C. Everett, 1818-1867",,"Elder R.H. Pittman, 1870-1941",,,"Jesus, His name, it shall be called",,Matthew 1:21,
162,163,Whiter Than Snow,301,OLH1,10.9.10.9. with Chorus,"Elder J. Harvey Daily, 1881-1964",,"Elder J. Harvey Daily, 1881-1964",,,I was an alien and death reigned within,"Whiter than snow, the beautiful snow",,
163,164,Wondrous Love,329,1,,from Southern Harmony,"arr. by Elder Roland Green, 1924-2011; ed",attr. to Alexander Means,,,"What wondrous love is this, O my soul",,,
164,165,The Cry from the Cross,SOZ - 1,OSH100,,"Elder Tim McCool, 1971-","arr. by Elder Bryce H. Lowrance, 1970-","Elder Tim McCool, 1971-  (2017)",,© Copyright 2017 McCool & Lowrance in “Songs of Zion.” All rights reserved. Used by permission.,O wretched sinner that I am!,"It is finished, was the cry,",,
165,166,"My Lord, I Did Not Choose You",325,OLH2,"WHITFIELD, 7.6.7.6.D",Anonymous,"arr. by Elder Roland Green, 1924-2011 (1994)","Josiah Conder, 1789-1855",3rd vs. by  Elder Roland Green (1994),,"My Lord, I did not choose You",,,
166,167,He Died For Me,323,OLH2,,"Elder Clifford Gowens, 1942 (1973)",,"Elder Clifford Gowens, 1942 (1973)",,"© Copyright 1975 by Harp of Ages, Inc. All rights reserved. Used by permission.",Sometimes when I think of the cross,"My Savior died for me,",,
167,168,How Shall A Man Be Just with God?,NEW - 92,OSH100,,"Bro. Austin McCool, 1997-  (2018)",,"Bro. Austin McCool, 1997-  (2018)",,© Copyright 2018 by Austin McCool. All rights reserved. Used by permission.,"How shall a man be just with God,",,,
168,169,How Firm A Foundation,146,1,"FOUNDATION, 11’s",William Caldwell’s Union Harmony,,"George Keith
 from Rippon’s Selections (1787)",,,"How firm a foundation, ye saints",,,
169,170,The Gospel Acording to Peter,SOZ - 47,OSH100,,"Elder Paul Blair, 1967-","arr. by Elder Bryce H. Lowrance, 1970-",Elder Paul Blair (2017),,"© Copyright 2017 by Paul Blair in “Songs of Zion.”
All rights reserved. Used by permission.",I saw a man who walked upon the,,,
170,171,God’s Temple,356,OLH2,,"Elder Roland Green, 1924-2011 (1994)",,"Sis. Virginia Hildreth, 1940-  (1996)",,"© Copyright 1996 Old School Hymnal Co., Inc. All rights reserved.","How fearfully, how wondrously, our Lord",,1st Corinthians 3:16,
171,172,Saved By Grace,442,6,,"Elder J. Harvey Daily, 1881-1964",,"Elder J.A. Monsees, 1883-1971",,"© Copyright 1934 J.A. Monsees. Assigned to Old School Hymnal Co., Inc.
All rights reserved.",Out of my guilt I tried to pray,O let me feel Thy sweet embrace,,
172,173,Nothing But The Blood,557,11,,"Robert Lowry, 1826-1899",,"Robert Lowry, 1826-1899",,,What can wash away my sin?,"O, precious is the flow ",,
173,174,O Thou God of My Salvation,608,1,"REGENT SQUARE, 8.7.8.7.8.7.","Henry Smart, 1813-1879",,"Thomas Olivers, 1725-1799",,,"O Thou God of my salvation, my Redeemer",,,
174,175,Election,SOZ - 8,OSH100,"RADNOR, C.M.","Elder Bryce H. Lowrance, 1970-  (2017)",,,,© Copyright 2017 by Bryce H. Lowrance in “Songs of Zion.” All rights reserved. Used by permission.,Of all the themes we mortals know,,,
175,176,Why Should He Love My So?,576,11,10.6.10.6. with Chorus,"Robert Harkness, 1880-1961",ed. for Old School Hymnal (2020),"Robert Harkness, 1880-1961",,© Copyright 1925 (renewed 1952) Broadman Press. All rights reserved. Used by permission.,Love sent my Savior to die in my stead,Why should he love me so?,,
176,177,Were You There?,594,12,,,"arr. by Elder Roland Green, 1924-2011",Traditional Spiritual,,,Were you there when they crucified my Lord,,,
177,178,"Salvation, O Melodious Sound",281,10,"LIVERPOOL, C.M.",M.C.H. Davis,"arr by Elder Roland Green, 1924-2011","Philip Doddridge, 1702-1751",,,Salvation! O melodious sound,,,
178,179,Forever Here My Rest Shall Be,223,1,"DUNDEE, C.M.",Scottish Psalter (1615),,"Charles Wesley, 1707-1788",,,Forever here my rest shall be,,John 13:9,
179,180,In Christ Alone,SOZ - 2,OSH100,,Getty & Townend,"arr. by Elder John Harvey, 1992- &
Elder Bryce H. Lowrance, 1970- ","Keith Getty, 1974-  &
Stuart Townend, 1963- (2001)",,"© Copyright 2002 Kingsway Thankyou Music. 
Used by permission.",In Christ alone my hope is found;,,,
180,181,God Will Provide Himself a Lamb,NEW - 100,OSH100,,"Elder Tim McCool, 1971- & 
Bro. Austin McCool, 1997- (2018)",,Elder Tim McCool (2018),,© Copyright 2018 by Tim & Austin McCool. All rights reserved. Used by permission.,Climbing up the mountain with knife,God will provide Himself a lamb!,,
181,182,Long Ere The Sun,554,11,"ROCKINGHAM, L.M.","Lowell Mason, 1792-1872",,,,,Long ere the sun began his days,,,
182,183,Who Am I?,New,OSH100,,Sis. Kate Moss & Elder Tim McCool,,Sis. Kate Moss & Elder Tim McCool,,"© Copyright 2020 by Kate Moss.
All rights reserved. Used by permission","Who am I, this worm of earth,","Who am I, O Lord God,",,
183,184,"The Blessed Spirit, Like The Wind",579,11,"SOLEMN WARNING, C.M.",E.P Boroughs,"arr. by Elder Roland Green, 1924-2011",,,,"The blessed Spirit, like the wind",,,
184,185,To the Cross!,SOZ - 31,OSH100,,"Bro. Austin McCool, 1997- &
Elder Tim McCool, 1971- (2017)",,"Bro. Austin McCool &
Elder Tim McCool",,"© Copyright 2017 by Austin McCool in “Songs of Zion.”
All rights reserved. Used by permission.",Our days on earth are few and filled,To the cross! To the Cross!,,
185,186,Sometimes a Light Surprises,Sacred Harp,OSH100,ECSTASY,"T.W. Carter (1844) in ""Original Sacred Harp""",ed. for Old School Hymnal (2020),"William Cowper, 1731-1800 (1779)",,,Sometimes a light surprises the Christian,"Oh, had I wings I would fly away",,
186,187,The Beatitudes,PBH - 181,OSH100,MAKARIOS,"Elder Bryce H. Lowrance, 1970-  (2001)",,"Elder Bryce H. Lowrance, 1970-  (2001)",,"© Copyright 2001 by Bryce H. Lowrance. 
All rights reserved. Used by permssion.","Blessed are the poor in spirit,",,Matthew 5:1-12,
187,188,All Things,SOZ - 76,OSH100,,"Bro. Austin McCool, 1997-  (2017)",,"Bro. Austin McCool, 1997-  (2017)",,"© Copyright 2017 by Austin McCool in “Songs of Zion.”
All rights reserved. Used by permission.",The whole creation groans,"For whom He did foreknow,",Romans 8,
188,189,A Story Most Lovely I’ll Tell,#11-28,10,SUFFERINGS OF CHRIST,"William Walker, 1809-1875","arr. by Elder Roland Green, 1924-2011",ed. by Elder Roland Green,,,A story most lovely I’ll tell,,,
189,190,How Vast the Benefits Divine,SOZ - 16,OSH100,"MONROE, C.M.","Elder Bryce H. Lowrance, 1970- (2017)",,"Augustus Toplady, 1740-1778",,"© Copyright 2017 by Bryce H. Lowrance m “Songs of Zion.”
All rights reserved. Used by permission.",How vast the benefits divine,,,"for West Monroe Primitive Bapitst Church, LA."
190,191,Our Daysman,SOZ - 3,OSH100,,"Bro. Matthew Arnold, 1999-  (2016)",,"Bro. Matthew Arnold &
Elder Tim McCool, 1971-  (2016)",,"© Copyright 2017 by Arnold and McCool in “Song of Zion”.
All rights reserved. Used by permission.",There is one mediator between the Lord,With one hand on the heavens,"Job 9:33; Isaiah 53:5,10; 1st Timothy 2:5 ",
191,192,The Blossoming Desert,SOZ - 43,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2017)",,"Elder Bryce H. Lowrance, 1970-  (2017)",,"© Copyright 2017 by Bryce Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.",The wilderness shall be glad for them,,Isaiah 35,"for the 2017 Session of Grace Singing School, NC."
192,193,The Power of the Cross,SOZ - 29,OSH100,,Getty & Townend,,"Keith Getty, 1974-  & Stuart Townend, 1963-  ",,"© Copyright 2005 Thankyou Music. Administration by EMI Christian Music Publishing.
All rights reserved. Used by permission.","Oh, to see the dawn of the darkest day",This the power of the cross; ,,
193,194,Effectual Calling,NEW,OSH100,,"Bro. Matthew Arnold, 1999-  (2017)",,"Bro. Matthew Arnold, 1999-  (2017)",,© Copyright 2020 by Matthew Arnold. All rights reserved. Used by permission.,The child he is not able to aid in his own birth,The child of God is born again,John 3:8,
194,195,Twixt Jesus and the Chosen Race,SOZ - 7,OSH100,"UNION GROVE, L.M.","Elder Bryce H. Lowrance, 1970-  (2016)",,"John Kent, 1766-1843",,"© Copyright 2017 by Bryce H. Lowrance in “Songs of Zion.”
All rights reserved. Used by permission.","Twixt Jesus and the chosen race,",,,"for the 2016 session of Grace Singing School, NC."
195,196,When I Survey The Wondrous Cross,158,1,"HAMBURG, L.M.",from a Gregorian Chant,"arr. by Lowell Mason, 1792-1872 (1824)","from Isaac Watts, 1674-1748 (1707)",,,When I survey the wondrous cross,,,
196,197,Thy Word Is a Lamp,PBH - 198,OSH100,NUN,"Elder Bryce H. Lowrance, 1970-  (2000)",,"Elder Bryce H. Lowrance, 1970-  (2000)",,"© Copyright 2000 by Bryce H. Lowrance. 
All rights reserved. Used by permission.","I have sworn, and will perform it",Because Thy word is a lamp unto my feet,Psalm 119:105-112,
197,198,Father of Mercies in Thy word,589,12,"TALLIS’ ORDINAL, C.M.","Thomas Tallis, ca. 1505-1585",,"Anne Steele, 1716-1778",,,"Father of mercies, in Thy word ",,,
198,199,"Holy Bible, Book Divine",542,OLH2,"ALETTA, 7’s","William B. Bradbury, 1816-1868 (1858)",,"John Burton, 1773-1822",,,"Holy Bible, book divine, Precious treasure",,Psalm 119:105,
199,200,"O, When Shall I See Jesus?",PBH,OSH100,THE MORNING TRUMPET,"Benjamin F. White, 1800-1879",alto by W.M. Cooper,"from Elder John Leland, 1754-1841 (1793)",,,"O, when shall I see Jesus","Shout, o glory! for I shall mount above the skies",,
200,201,We Are Blessed,PBH - 162,OSH100,ALEPH,"Elder Bryce H. Lowrance, 1970-  (2000)",,"Elder Bryce H. Lowrance, 1970-  (2000)",,© Copyright 2000 by Bryce H. Lowrance. All rights reserved. Used by permission.,We are blessed in the law of the Lord,,Psalm 119:1-8,
201,202,He Lives,568,11,ACKLEY,"Alfred H. Ackley, 1887-1960 (1933)",,"Alfred H. Ackley, 1887-1960 (1933)",,,I serve a risen Savior,"He lives, He lives, Christ Jesus lives today",,
202,203,Jesus Is Our Great Salvation,282,10,"RESTORATION, 8.7.8.7.","William Walker, 1809-1875 (1835)","arr. by Homer F. Morris, 1875-1955","John Adams, 1751-1835",,,Jesus is our great salvation,,,
203,204,Christ Arose,142,1,,"Robert Lowry, 1826-1899",,"Robert Lowry, 1826-1899",,,Low in the grave He lay,Up from the grave He arose,,
204,205,Resurrection Scene,PBH - 137,OSH100,"TRIUMPHANT WING, C.M.D.","Elder Bryce H. Lowrance, 1970- (2002)",,Author Unknown,,"© Copyright 2014 by Bryce H. Lowrance. 
All rights reserved. Used by permission.","How long shall Death, the tyrant, reign",,Revelation 6:10,
205,206,Before the Throne of God Above,SOZ - 15,OSH100,,Vikki Cook,arr. by Mike Rogers,Charitie L. Bancroft 1841-1892,,"© Copyright 1997 Sovereign Grace Worship (ASCAP) 
(Admin. at EMI/CMGPublishing.com). All rights reserved. Used by permission.
",Before the throne of God above,,,
206,207,Babylon Is Fallen,226,1,8.7.8.7. with Chorus,"arr. by John B. Vaughan, 1860-1918",ed. for Old School Hymnal (2020),,,,Hail! the day so long expected,"Babylon is fallen, is fallen",Revelation 14:8,
207,208,Christ the Lord is Risen Today,PBH - 130,OSH100,7.7.7.7.D.,Lyra Davidica (1708),,"Charles Wesley, 1707-1788",,,Christ the Lord is risen today,,,
208,209,"Watchman, Tell Me Does The Morning",353,10,"WATCHMAN, 8’s & 7’s D.",H.D. Pinney,,"Sidney S. Brewer, 1804-1889",,,"Watchman, tell me does the morning",,,
209,210,Lively Hope,SOZ - 40,OSH100,,"Elder Bryce H. Lowrance, 1970-  (2014)",,adapted from a hymn by Isaac Watts,,© Copyright 2017 Bryce H. Lowrance in “Songs of Zion.” All rights reserved. Used by Permission,Blest be the Father of our Lord,,1st Peter 1:3,"for the 2014 Session of
Harmony Highlands Singing School, Jasper AL"
210,211,"When Thou, My Righteous Judge",379,10,"SALEM’S BRIGHT KING, 8.8.8.6.D.",,,"Selina “Shirley” Hastings
Countess of Huntington, 1707-1778 (1772)",,,"When Thou, My righteous Judge shall come",,,
211,212,I Know That My Redeemer Lives,PBH - 192,OSH100,"ANTIOCH, L.M. with Chorus","Francis C. Wood, b. 1824  (1850).","arr. by Elder Bryce H. Lowrance, 1970- (2020)","Samuel Medley, 1738-1799 (1775)",,,I know that my Redeemer lives,,,
212,213,The Happy Land,285,1,,Hindustani Air,"arr. by L.P. Breedlove, (1850)","Andrew Young, 1807-1889 (1838)",,,"There is a happy land, far, far away",,,
213,214,I’ll Live On Somewhere,335,10,,"Homer F. Morris, 1875-1955",,"Homer F. Morris, 1875-1955",,,When this life is o’er and I’m here no more,I’ll live on somewhere,,
214,215,"Jesus, My Lord",PBH - 60,OSH100,C.M.D.,,,"Bro. R.E. Johnson, 1946-",,"© Copyright 1976 by Harp of Ages, Inc. in “Harp of Ages.” All rights reserved. Used by permission.","Jesus, my Lord, my Shepherd, Friend",,,
215,216,On Jordan’s Stormy Banks,306,1,"PROMISED LAND, C.M. with Chorus",,"arr. by R.M. McIntosh, 1836-1899","from Samuel Stennett, 1727-1795",,,On Jordan’s stormy banks I stand,I am bound for the promised land,,
216,217,Where The Soul Never Dies,349,9,C.M. with Chorus,"William M. Golden, 1890-1984",,"William M. Golden, 1890-1984",,,To Canaan’s land I’m on my way,"No sad farewells, no tear dimmed eyes",,
217,218,I’ll Fly Away,363,OLH2,,"Albert E. Brumley, 1905-1977",,"Albert E. Brumley, 1905-1977",,"© Copyright 1932 Hartford Music Co. in “Wonderful Message.” Renewed 1960 Albert E. Brumley and Sons/SESAC.
All rights reserved. Used by permission of ICG, Nashville.",Some glad morning when this life is o’er,"I’ll fly away, oh, glory, I’ll fly away",,
218,219,I Would Not Live Alway,352,1,,"J.M. Henson, 1887-1972",,"from William A. Mühlenberg, 1796-1877",,,"I would not live alway, I ask not to stay",,,
219,220,"Be Thou Exalted, LORD",NEW - 117,OSH100,,"Elder Bryce H. Lowrance, 1970- (2018)",,"Elder Bryce H. Lowrance, 1970- (2018)",,"© Copyright 2018 by Bryce H. Lowrance. 
All rights reserved. Used by permssion.",Our Lord and King with joy,"Be Thou exalted, LORD;",Psalm 21,"In loving memory of my Uncle V.J. “Sonny” Lowrance, Jr."
220,221,"Bear Me Up, Angels",171,8,6.5.6.5. with Chorus,H.M. Eagle,,"Johnson Oatman, Jr. 1856-1922",,,God’s angels encampeth ’Round them,"O bear me up, angels",Psalm 34:7,
221,222,I’ll Be Satisfied,201,7,,T.N. Pannell,,Joe H. Pannell,,,When my soul is singing in that,"I’ll be satisfied, I’ll be satisfied",,
222,223,And Let This Feeble Body Fail,365,1,"HALLELUJAH, C.M.","William Walker, 1809-1875","arr. by J.B. Vaughan, 1860-1918","from Charles Wesley, 1707-1788",,,And let this feeble body fail and let it faint,And I’ll sing hallelujah,,
223,224,I Feel Like Traveling On,67,4,,"James D. Vaughan, 1864-1941",,"William Hunter, 1811-1877",,,My heav’nly home is bright and fair,"Yes, I feel like traveling on",,
224,225,When I Go Home,NEW - 176,OSH100,,"G. Michael Eldridge, 1992-",,"G. Michael Eldridge, 1992-",,© Copyright 2019 Acapeldridge. Used by permission.,In the moment He appears,Ev’ry tear wiped away when,Revelation 21:4,
225,226,Homeward Bound,PBH - 542,OSH100,,"J.W. Dadmun, 1819-1890",,"William F. Warren, 1833-1929",,,"Out on the ocean all boundless we ride,",,,
226,227,How Sweet To Die,345,6,C.M.,"Elder A.N. Whitten, 1856-1949",,"Elder A.N. Whitten, 1856-1949",,,"Farewell, vain world, I’m going home","Then, O how sweet to die",,"In memory of Elder S.A. Paine and his last words,
“Oh, how sweet to die.”"
227,228,What A Day That Will Be,370,OLH2,,"Jim Hill, 1930-2018",,"Jim Hill, 1930-2018",,"© Copyright 1955, renewed 1983 Ben Speer Music/SESAC.
All rights reserved. Use by permssion of ICG, Nashville.",There is coming a day when no heartaches,What a day that will be,,
228,229,In that Morning,354,1,C.M.,"William Walker, 1809-1875","arr. by Elder Roland Green, 1924-2011",,,,We’ll meet beyond the shores of time,"In that morning, In that morning",,
229,230,Gloryland,NEW,OSH100,,as sung by the Primitive Quartet,,F. Meade,,"© Copyright 1982 by Primitive Quartet Music Co. in “Our Favorite Songs.”
All rights reserved. Used by permission.",If you have friends in gloryland,"So weep not friends, I’m going home",,
230,231,Long Sought Home,405,1,,William Bobo (1865),,"Trans. from a Latin hymn (8th cent.)
in Eckington Collection (1790)",,,"Jerusalem, my long sought home","Home sweet home, my long sought home",,
231,232,Sweet By And By,383,1,,"J.P. Webster, 1819-1875",,"S.F. Bennett, 1836-1889",,,There’s a land that is fairer than day,"In the sweet, by and by",,
232,233,Face to Face,369,OLH2,,"Grant C. Tullar, 1869-1950",,"Carrie E. Breack, 1855-1934",,,"Face to face with Christ, my Savior",Face to face I shall behold Him,1st Corinthians 13:12,
233,234,Beulah Land,368,OLH2,,"John R. Sweney, 1837-1899 (1875)",,"Edgar P. Stites, 1836-1921 (1875)",,,I’ve reached the land of corn and wine,"O Beulah Land, sweet Beulah Land",,
234,235,How Beautiful Heaven Must Be,385,4,9.8.9.8. with Chorus,A.P. Bland,,Mrs. A.S. Bridgewater,,,We read of a place that’s called heaven,How beautiful heaven must be,,
235,236,Sweet Beulah Land,588,12,,"Squire Parsons, Jr., 1948-",,"Squire Parsons, Jr., 1948-",,"© Copyright 1979 by Kingsmen Publishing Co. (BMI) (a div. of Brentwood-Benson Music Pub., Franklin, TN)
All rights reserved. Used by permission",I’m kind of homesick for a country,"Beulah Land, I’m longing for you",,
236,237,"Lord, I Believe",204,10,"DOWNS, C.M.","Lowell Mason, 1792-1872",,"John R. Wreford, 1799-1841",,,"Lord, I believe Thy pow’r I own",,Mark 9:24,
237,238,No Night,551,11,,,"arr. by Bro. Ernest L. Parker, 1907-1999",E.T. Bowers (1880),,,"A glor’ous rest is promised, a home","No night, no night, but eternal day is giv’n",Revelation 22:5,"as sung by Tickanetley Singing Class; Ellijay, GA."
238,239,Shall We Gather At The River?,408,1,,"Robert Lowry, 1826-1899",,"Robert Lowry, 1826-1899",,,Shall we gather at the river,"Yes, we’ll gather at the river",,
239,240,Angel Band,384,1,C.M. with Chorus,"William B. Bradbury, 1816-1868 (1862)","arr. by J.B. Vaughan, 1860-1918","Jefferson Hascall, 1807-1887 (1860)",,,My latest sun is sinking fast,"O come, angel band, Come",,
240,241,A Light At The River,533,11,10.9.10.9. with Chorus,"Bro. Morris Nowlin, 1915-2010 & Bro. Harvey Bass, 1918-2007
","arr. by Elder Roland Green, 1924-2011",Traditional,,"© Copyright 1977 Harp of Ages, Inc. All rights reserved. Used by permission.",There is a river we must pass over,There’ll be a light for me at the river,,
241,242,Won’t It Be Wonderful There?,427,7,,"Homer F. Morris, 1875-1955",,"James Rowe, 1865-1933",,"© Copyright 1930, renewed 1958, Stamps-Baxter Music. All rights reserved.
Useed by permission of Brentwood-Benson Music, Franklin, TN.",When with the Savior we enter the glory land,"Won’t it be wonderful there,",,
242,243,When We All Get to Heaven,428,4,,"Emily D. Wilson, 1865-1942",,"Eliza E. Hewitt, 1851-1920",,,Sing the wondrous love of Jesus,When we all get to heaven,,
243,244,The Bride’s Mansion,497,OLH1,L.M. with Chorus,"Elder J.A. Monsees, 1883-1971",,"Elder J.A. Monsees, 1883-1971",,,I have feeling from inside my Lord,He has a mansion where they’ll meet,,
244,245,Biblical Faith,NEW - 85,OSH100,"THOMPSON, C.M.","Elder Bryce H. Lowrance, 1970-  (2018)",,"Elder Wilson Thompson, 1788-1866 (ca. 1844); ed.",,"© Copyright 2018 by Bryce H. Lowrance.
All rights reserved. Used by permission.",Faith can create no truth we know,,,
245,246,Life Eternal,520,11,12.11.12.11. with Chorus,"Bro. Lee R. Wise, 1920-???? &
Sis. Willadean Wise Brunette, 1941-2017",,"Bro. L.R. Wise, 1920-????
3rd vs. by Elder E.G. Morgan, 1932-",,"© Copyright 1983 Old School Hymnal Co., Inc. All rights reserved.",I know that I cannot pray just like old Daniel,,,
246,247,O That Will Be Glory,434,10,,"Charles H. Gabriel, 1856-1932",,"Charles H. Gabriel, 1856-1932",,,When all my labors and trials are o’er,O that will be glory for me,,
247,248,The Unclouded Day,397,1,12’s & 10’s with Chorus,"Josiah K. Alwood, 1828-1909","arr. by Edwin O. Excell, 1851-1921","Josiah K. Alwood, 1828-1909",,,O they tell me of a home far beyond the skies,O the land of cloudless day,,
248,249,Where We’ll Never Grow Old,391,5,6’s & 9’s with Chorus,"James C. Moore, 18880-1961",,"James C. Moore, 18880-1961",,,I have heard of a land,"Never grow old, never grow old",,
